Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/03/2011;LTN;Venda;1.к volta;01/04/2011;01/01/2015;1.500.000;13,137;13,1379;1.500.000;943.758.766,55;1.500.000;943.758.766,50
31/03/2011;LTN;Venda;2.к volta;01/04/2011;01/01/2015;300.000;13,137;13,137;240.805;151.507.886,49;0;0
31/03/2011;LTN;Venda;1.к volta;01/04/2011;01/07/2013;3.000.000;12,999;13,008;3.000.000;2.283.209.862,59;1.500.000;1.141.604.931,00
31/03/2011;LTN;Venda;2.к volta;01/04/2011;01/07/2013;600.000;12,999;12,999;477.405;363.338.601,36;0;0
31/03/2011;LTN;Venda;1.к volta;01/04/2011;01/10/2011;1.000.000;12,0713;12,0749;1.000.000;944.183.043,05;0;0
31/03/2011;LTN;Venda;2.к volta;01/04/2011;01/10/2011;200.000;12,0713;12,0713;20.232;19.102.711,32;0;0
31/03/2010;LTN;Venda;1.к volta;01/04/2010;01/07/2012;3.000.000;12,0266;12,0299;1.114.500;863.580.771,99;0;0
31/03/2010;LTN;Venda;1.к volta;01/04/2010;01/10/2010;2.000.000;9,8695;9,877;2.000.000;1.907.344.686,05;0;0
31/03/2010;LTN;Venda;2.к volta;01/04/2010;01/10/2010;400.000;9,8695;9,8695;0;0;0;0
31/03/2010;NTN-F;Venda;1.к volta;01/04/2010;01/01/2014;500.000;12,2574;12,263;500.000;480.436.085,74;0;0
31/03/2010;NTN-F;Venda;2.к volta;01/04/2010;01/01/2014;100.000;12,2574;12,2574;0;0;0;0
31/03/2010;NTN-F;Venda;1.к volta;01/04/2010;01/01/2021;500.000;12,658;12,6879;500.000;438.742.591,51;0;0
31/03/2010;NTN-F;Venda;2.к volta;01/04/2010;01/01/2021;100.000;12,658;12,658;0;0;0;0
31/03/2005;LTN;Venda;1.к volta;01/04/2005;01/01/2007;2.000.000;18,7243;18,7689;2.000.000;1.483.122.031,86;2.000.000;1.483.122.030,00
31/03/2005;LTN;Venda;1.к volta;01/04/2005;01/04/2006;6.000.000;19,4192;19,4399;6.000.000;5.020.779.479,21;10.000.000;8.367.965.790,00
31/03/2005;LTN;Venda;1.к volta;01/04/2005;01/10/2005;750.000;19,7684;19,77;750.000;684.334.469,66;9.000.000;8.212.013.631,00
31/03/2005;NTN-F;Venda;1.к volta;01/04/2005;01/01/2008;150.000;18,3059;18,3199;150.000;129.251.573,51;0;0
31/03/2005;NTN-F;Venda;1.к volta;01/04/2005;01/01/2010;150.000;0;0;0;0;0;0
31/01/2019;LTN;Venda;1.к volta;01/02/2019;01/04/2020;1.500.000;6,4952;6,5038;1.400.000;1.301.221.726,65;0;0
31/01/2019;LTN;Venda;2.к volta;04/02/2019;01/04/2020;300.000;6,4952;6,4952;299.998;278.901.098,68;0;0
31/01/2019;LTN;Venda;1.к volta;01/02/2019;01/04/2021;1.500.000;7,25;7,2588;1.300.000;1.118.005.806,60;0;0
31/01/2019;LTN;Venda;2.к volta;04/02/2019;01/04/2021;300.000;7,25;7,25;299.998;258.071.494,73;0;0
31/01/2019;LTN;Venda;1.к volta;01/02/2019;01/07/2022;2.000.000;7,9795;7,9929;1.233.500;950.061.608,70;0;0
31/01/2019;LTN;Venda;2.к volta;04/02/2019;01/07/2022;400.000;7,9795;7,9795;395.779;304.928.579,60;0;0
31/01/2019;NTN-F;Venda;1.к volta;01/02/2019;01/01/2025;500.000;8,5598;8,5697;200.000;214.512.326,64;0;0
31/01/2019;NTN-F;Venda;1.к volta;01/02/2019;01/01/2029;750.000;8,899;8,899;750.000;809.418.080,25;0;0
31/01/2019;NTN-F;Venda;2.к volta;04/02/2019;01/01/2029;150.000;8,899;8,899;150.000;161.938.390,02;0;0
31/01/2013;LTN;Venda;1.к volta;01/02/2013;01/04/2015;1.000.000;8,1605;8,165;750.000;632.965.638,75;0;0
31/01/2013;LTN;Venda;2.к volta;01/02/2013;01/04/2015;200.000;8,1605;8,1605;0;0;0;0
